,Series or Movie,IMDb Score,Awards Received,Release Date,Release Period
286,Movie,4.5,Not Awarded,2019-11-29,2010-2029
287,Movie,6.3,4.0,2014-09-26,2010-2029
288,Movie,7.2,Not Awarded,2013-06-07,2010-2029
289,Movie,8.2,Not Awarded,1957-12-05,1950-1969
290,Movie,7.1,Not Awarded,2012-11-02,2010-2029
291,Movie,7.9,1.0,2018-06-01,2010-2029
292,Movie,7.4,40.0,2019-10-04,2010-2029
293,Movie,9.7,Not Awarded,2020-07-15,2010-2029
294,Movie,8.3,37.0,2013-01-10,2010-2029
295,Movie,5.5,Not Awarded,2019-07-27,2010-2029
297,Series,6.7,Not Awarded,1915-03-01,1910-1929
298,Series,7.3,Not Awarded,2009-02-25,1990-2009
299,Movie,6.5,Not Awarded,2020-03-13,2010-2029
300,Movie,7.2,Not Awarded,2021-01-22,2010-2029
301,Series,7.0,Not Awarded,2021-01-22,2010-2029
302,Movie,7.1,14.0,2011-07-04,2010-2029
303,Movie,6.1,1.0,2001-08-11,1990-2009
304,Movie,4.9,Not Awarded,2020-08-21,2010-2029
305,Series,7.7,Not Awarded,2003-10-02,1990-2009
306,Series,6.5,26.0,1999-05-19,1990-2009
307,Movie,5.9,Not Awarded,2020-11-13,2010-2029
308,Movie,7.0,8.0,1999-02-19,1990-2009
310,Series,7.3,Not Awarded,2021-01-20,2010-2029
311,Movie,4.6,Not Awarded,2021-01-12,2010-2029
312,Movie,6.4,9.0,2013-06-04,2010-2029
313,Movie,5.1,Not Awarded,2019-07-04,2010-2029
314,Movie,7.7,Not Awarded,1929-06-06,1910-1929
315,Movie,5.4,Not Awarded,2020-09-29,2010-2029
316,Series,6.8,Not Awarded,2015-03-01,2010-2029
317,Series,7.1,Not Awarded,2021-01-01,2010-2029
318,Movie,6.2,1.0,2020-12-15,2010-2029
319,Series,8.3,4.0,2018-10-31,2010-2029
320,Series,8.7,Not Awarded,2021-01-01,2010-2029
321,Movie,4.4,Not Awarded,2020-10-02,2010-2029
322,Movie,5.9,3.0,2014-06-11,2010-2029
323,Movie,6.0,Not Awarded,2011-02-17,2010-2029
324,Movie,6.1,2.0,2014-10-10,2010-2029
325,Series,6.4,Not Awarded,1993-07-30,1990-2009
326,Series,8.1,232.0,1969-07-21,1950-1969
327,Movie,6.9,32.0,2020-01-23,2010-2029
328,Movie,5.7,1.0,2020-08-21,2010-2029
329,Movie,5.2,Not Awarded,2020-10-13,2010-2029
330,Movie,6.7,Not Awarded,2021-01-15,2010-2029
331,Movie,5.4,Not Awarded,2021-01-15,2010-2029
332,Movie,5.5,Not Awarded,2021-01-15,2010-2029
333,Series,5.7,Not Awarded,2021-01-15,2010-2029
334,Movie,5.4,Not Awarded,2019-10-11,2010-2029
335,Movie,8.5,Not Awarded,2021-01-10,2010-2029
336,Series,7.9,1.0,2019-01-11,2010-2029
337,Series,6.7,Not Awarded,2019-03-11,2010-2029
338,Series,7.3,Not Awarded,2012-10-06,2010-2029
339,Movie,5.7,Not Awarded,1993-01-15,1990-2009
340,Series,7.8,3.0,2015-11-30,2010-2029
341,Movie,6.1,2.0,2020-07-24,2010-2029
342,Movie,5.5,Not Awarded,2019-04-30,2010-2029
343,Series,8.5,Not Awarded,2016-06-01,2010-2029
344,Movie,7.1,Not Awarded,2019-03-16,2010-2029
345,Movie,5.9,10.0,2013-06-07,2010-2029
346,Movie,2.8,Not Awarded,2020-10-09,2010-2029
347,Movie,7.2,5.0,2018-01-05,2010-2029
349,Movie,7.0,19.0,2017-11-16,2010-2029
350,Movie,7.5,Not Awarded,2016-11-14,2010-2029
351,Movie,5.3,4.0,2013-05-21,2010-2029
352,Series,7.5,Not Awarded,2021-01-13,2010-2029
353,Series,7.9,Not Awarded,2018-01-04,2010-2029
354,Movie,6.4,1.0,2020-07-24,2010-2029
356,Movie,5.6,7.0,2019-08-09,2010-2029
357,Series,6.0,Not Awarded,2010-04-11,2010-2029
358,Movie,7.6,Not Awarded,1988-07-01,1970-1989
359,Movie,5.9,Not Awarded,2019-05-09,2010-2029
360,Movie,5.2,Not Awarded,2019-04-04,2010-2029
361,Movie,6.6,Not Awarded,2021-01-11,2010-2029
363,Series,8.2,Not Awarded,2021-01-01,2010-2029
364,Movie,7.0,8.0,2002-05-23,1990-2009
365,Movie,8.5,Not Awarded,1985-04-22,1970-1989
366,Movie,4.8,Not Awarded,2020-08-07,2010-2029
367,Series,7.7,1.0,1979-12-15,1970-1989
368,Movie,3.5,Not Awarded,2016-12-22,2010-2029
369,Movie,5.9,Not Awarded,1924-05-18,1910-1929
370,Movie,6.1,Not Awarded,2013-06-22,2010-2029
371,Movie,7.2,1.0,2020-08-21,2010-2029
372,Movie,7.0,3.0,2006-10-13,1990-2009
373,Movie,7.1,5.0,2021-01-07,2010-2029
374,Movie,5.1,Not Awarded,2019-10-31,2010-2029
375,Movie,3.5,1.0,2004-04-02,1990-2009
376,Movie,6.8,Not Awarded,2013-04-11,2010-2029
377,Movie,8.5,1.0,1986-01-12,1970-1989
378,Series,8.7,Not Awarded,2020-09-25,2010-2029
379,Movie,6.8,Not Awarded,2021-01-06,2010-2029
380,Series,5.8,Not Awarded,2010-03-04,2010-2029
381,Movie,6.6,Not Awarded,2020-12-01,2010-2029
382,Movie,8.4,Not Awarded,2019-01-25,2010-2029
383,Movie,6.9,2.0,2004-06-01,1990-2009
384,Movie,6.4,Not Awarded,2010-10-06,2010-2029
385,Movie,5.4,Not Awarded,2018-10-25,2010-2029
386,Series,6.5,Not Awarded,2021-01-05,2010-2029
388,Series,7.5,1.0,2019-11-10,2010-2029
389,Movie,7.3,19.0,2012-04-15,2010-2029
391,Movie,5.9,Not Awarded,2001-07-11,1990-2009
392,Movie,6.2,Not Awarded,2020-10-09,2010-2029
393,Movie,7.0,Not Awarded,2002-03-12,1990-2009
394,Movie,6.4,2.0,2015-07-02,2010-2029
395,Movie,4.7,Not Awarded,1999-09-10,1990-2009
396,Series,3.9,Not Awarded,2020-12-13,2010-2029
397,Movie,6.0,Not Awarded,1996-10-11,1990-2009
398,Movie,5.5,Not Awarded,2020-09-03,2010-2029
399,Movie,7.4,23.0,2020-03-06,2010-2029
400,Movie,4.2,Not Awarded,2021-01-01,2010-2029
401,Movie,5.9,Not Awarded,2021-01-01,2010-2029
402,Series,8.6,Not Awarded,2021-01-01,2010-2029
403,Series,8.8,1.0,2019-07-06,2010-2029
404,Series,6.9,2.0,1991-11-27,1990-2009
405,Series,5.8,Not Awarded,2016-04-03,2010-2029
406,Series,7.9,2.0,2008-04-03,1990-2009
407,Series,7.5,Not Awarded,2016-02-24,2010-2029
408,Movie,2.9,Not Awarded,2019-06-25,2010-2029
410,Movie,7.2,Not Awarded,2015-07-09,2010-2029
411,Movie,5.3,Not Awarded,2012-09-28,2010-2029
412,Movie,7.0,11.0,1966-10-15,1950-1969
413,Movie,6.7,Not Awarded,2019-06-28,2010-2029
414,Movie,7.6,14.0,2019-11-15,2010-2029
415,Movie,5.7,Not Awarded,2020-05-15,2010-2029
416,Movie,5.6,1.0,2019-11-08,2010-2029
417,Movie,5.6,1.0,2014-02-06,2010-2029
418,Movie,4.2,2.0,2009-12-01,1990-2009
419,Movie,6.0,Not Awarded,2019-03-15,2010-2029
420,Movie,8.1,10.0,1980-10-10,1970-1989
421,Movie,7.6,1.0,1970-03-13,1970-1989
422,Movie,7.4,1.0,1972-10-27,1970-1989
423,Movie,8.2,Not Awarded,2020-01-01,2010-2029
424,Movie,6.1,Not Awarded,2019-04-19,2010-2029
425,Movie,5.6,Not Awarded,2019-02-21,2010-2029
428,Movie,4.9,Not Awarded,1998-02-06,1990-2009
429,Movie,5.9,Not Awarded,2020-12-31,2010-2029
430,Series,9.0,2.0,2010-07-11,2010-2029
431,Movie,4.6,Not Awarded,2020-02-01,2010-2029
432,Movie,4.2,Not Awarded,2019-07-05,2010-2029
433,Movie,5.4,Not Awarded,2020-12-31,2010-2029
434,Movie,4.8,Not Awarded,2020-07-07,2010-2029
435,Series,6.7,Not Awarded,2015-09-24,2010-2029
436,Movie,7.4,Not Awarded,2011-03-05,2010-2029
437,Movie,5.7,Not Awarded,2020-12-01,2010-2029
438,Movie,5.9,Not Awarded,2020-08-14,2010-2029
439,Movie,5.5,Not Awarded,2021-02-26,2010-2029
440,Movie,6.5,1.0,2010-09-17,2010-2029
441,Movie,7.1,11.0,2020-02-28,2010-2029
442,Movie,5.0,Not Awarded,2020-05-12,2010-2029
443,Movie,6.4,4.0,2020-11-06,2010-2029
444,Movie,6.7,Not Awarded,2020-05-08,2010-2029
445,Movie,6.7,Not Awarded,2013-04-30,2010-2029
446,Movie,5.7,Not Awarded,2012-11-03,2010-2029
447,Movie,7.8,5.0,2003-08-29,1990-2009
448,Movie,5.5,Not Awarded,2014-07-04,2010-2029
449,Movie,6.6,Not Awarded,2005-12-16,1990-2009
450,Movie,7.4,5.0,2005-12-02,1990-2009
451,Series,5.4,Not Awarded,1970-10-01,1970-1989
452,Series,5.6,Not Awarded,2020-12-30,2010-2029
453,Series,7.0,Not Awarded,1988-10-03,1970-1989
454,Series,5.1,Not Awarded,2016-02-06,2010-2029
455,Movie,7.0,Not Awarded,2005-12-17,1990-2009
456,Movie,6.8,1.0,1934-05-08,1930-1949
457,Movie,4.0,Not Awarded,2019-09-06,2010-2029
458,Series,8.3,Not Awarded,2020-08-06,2010-2029
459,Movie,6.6,Not Awarded,2018-08-30,2010-2029
460,Movie,6.5,1.0,2016-06-01,2010-2029
461,Movie,6.5,3.0,2019-04-19,2010-2029
462,Movie,6.0,Not Awarded,2010-05-06,2010-2029
463,Movie,4.6,Not Awarded,2020-04-02,2010-2029
464,Movie,5.4,Not Awarded,2013-11-17,2010-2029
465,Movie,6.0,Not Awarded,2016-12-28,2010-2029
466,Movie,4.7,Not Awarded,2020-09-02,2010-2029
467,Movie,5.8,Not Awarded,2004-02-01,1990-2009
468,Movie,6.1,1.0,1995-10-13,1990-2009
469,Series,8.1,5.0,2017-11-09,2010-2029
471,Movie,7.7,3.0,1951-12-21,1950-1969
